first_name,points_per_game,second_name,selected_by_percent,team,total_points,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,creativity_rank,threat_rank,ict_index_rank,position,price,G+A,price_range,ownership
Hwang,2.7,Hee-chan,0.4,WOL,81,13.5,Hwang,1811,5,1,7,22,0,11,288,322.2,268.3,481.0,106.7,198,135,72,126,Midfielder,6.0,6,Mid,Differential
Daniel,2.7,Castelo Podence,0.4,WOL,70,12.7,Podence,1475,2,3,9,12,0,2,257,328.6,493.0,459.0,128.2,195,61,77,85,Midfielder,5.5,5,Budget,Differential
Luke,1.8,Cundle,0.5,WOL,7,1.6,Cundle,179,0,0,1,1,0,0,32,17.0,32.0,2.0,5.1,366,301,339,357,Midfielder,4.5,0,Budget,Differential
Pedro,1.7,Lomba Neto,19.9,WOL,22,4.0,Neto,459,1,1,0,14,0,0,88,103.4,205.1,219.0,52.6,310,164,168,255,Midfielder,5.5,2,Budget,High
Francisco Jorge,2.5,Tomás Oliveira,0.0,WOL,20,4.0,Chiquinho,203,0,3,0,5,0,2,67,99.4,83.4,118.0,30.1,312,251,235,297,Midfielder,5.0,3,Budget,Differential
Adama,2.2,Traoré Diarra,0.6,WOL,44,8.0,Adama,1069,1,1,5,10,0,0,168,192.0,271.1,300.0,76.6,264,134,126,195,Midfielder,5.5,2,Budget,Differential
Morgan,0.5,Gibbs-White,0.2,WOL,1,0.2,Gibbs-White,7,0,0,0,0,0,0,0,0.0,0.7,24.0,2.1,511,362,308,372,Midfielder,5.5,0,Budget,Differential
João Filipe Iria,2.7,Santos Moutinho,2.1,WOL,96,19.2,Moutinho,2970,2,1,11,40,0,8,511,527.8,660.9,144.0,133.2,104,27,209,73,Midfielder,5.0,3,Budget,Differential
Eddie,2.6,Nketiah,1.1,ARS,55,7.9,Nketiah,823,5,1,0,18,0,6,194,249.2,165.2,408.0,82.1,236,189,94,180,Forward,7.0,6,Mid,Differential
Gabriel,4.3,Fernando de Jesus,64.1,ARS,120,15.0,Jesus,1871,8,8,11,15,0,16,488,567.4,530.9,1126.0,222.3,92,50,12,25,Forward,8.0,16,Mid,High
Danny,3.5,Ings,1.7,AVL,106,15.1,Ings,1891,7,6,10,26,0,12,344,448.6,210.9,749.0,140.3,137,161,38,70,Forward,7.0,13,Mid,Differential
Ollie,3.7,Watkins,3.8,AVL,131,17.5,Watkins,2950,11,3,10,48,0,17,441,613.8,469.6,1345.0,242.9,70,67,6,20,Forward,7.5,14,Mid,Differential
Keinan,1.0,Davis,0.2,AVL,1,0.2,Davis,11,0,0,0,0,0,0,2,0.4,1.0,0.0,0.1,383,358,511,386,Forward,5.5,0,Budget,Differential
Cameron,1.0,Archer,3.7,AVL,3,0.7,Archer,24,0,0,0,0,0,0,3,0.0,0.8,18.0,1.6,453,359,314,377,Forward,4.5,0,Budget,Differential
Kieffer,0.0,Moore,0.3,BOU,0,0.0,Moore,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,507,508,507,508,Forward,5.5,0,Budget,Differential
Dominic,0.0,Solanke,1.7,BOU,0,0.0,Solanke,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,520,520,520,520,Forward,6.0,0,Mid,Differential
Ivan,4.2,Toney,5.4,BRE,139,19.9,Toney,2908,12,5,8,47,0,19,502,717.8,573.6,1320.0,260.7,43,43,7,13,Forward,7.0,17,Mid,Differential
Bryan,3.4,Mbeumo,2.8,BRE,119,19.8,Mbeumo,2905,4,7,9,47,0,6,310,459.8,520.6,967.0,193.7,132,55,18,34,Forward,6.0,11,Mid,Differential
Marcus,1.6,Forss,1.8,BRE,11,2.4,Forss,203,0,1,0,4,0,0,35,20.8,12.5,55.0,8.7,360,331,286,343,Forward,4.5,1,Budget,Differential
