id,name,now_cost,position,team,clean_sheets_per_90,threat_rank_type,expected_assists_per_90,expected_assists,points_per_game_rank,goals_scored,penalties_missed,creativity_rank_type,transfers_out,value_form,direct_freekicks_order,value_season,bonus,starts_per_90,cost_change_start,news_added,expected_goals_conceded,cost_change_start_fall,expected_goals_conceded_per_90,red_cards,threat,selected_rank_type,influence,penalties_saved,corners_and_indirect_freekicks_order,ep_next,event_points,web_name,creativity,ict_index_rank,saves_per_90,creativity_rank,expected_goals,own_goals,status,now_cost_rank_type,saves,yellow_cards,goals_conceded,news,expected_goal_involvements_per_90,assists,form_rank_type,ict_index_rank_type,chance_of_playing_next_round,influence_rank,penalties_order,ict_index,form,dreamteam_count,expected_goal_involvements,chance_of_playing_this_round,starts,points_per_game,minutes,total_points,in_dreamteam,form_rank,selected_rank,expected_goals_per_90,threat_rank,ep_this,transfers_in,bps,goals_conceded_per_90,selected_by_percent,influence_rank_type,points_per_game_rank_type,clean_sheets,now_cost_rank
523,Harry Toffolo,43,DEF,Nott'm Forest,0.19,107,0.09,0.93,390,0,0,92,24499,0.2,,7.0,1,0.87,-2,2022-10-19T07:30:07.522470Z,19.73,2,1.9,0,67.0,173,147.0,0,,0.5,1,Toffolo,93.5,362,0.0,300,0.28,0,a,132,0,2,17,,0.12,0,96,128,100.0,343,,30.6,0.8,0,1.21,100.0,9,1.6,933,30,False,296,469,0.03,322,0.8,17222,134,1.64,0.1,140,139,2,547
524,Lewis O'Brien,47,MID,Nott'm Forest,0.16,178,0.03,0.19,378,1,0,189,9536,0.0,,4.7,0,0.93,-3,2023-03-23T09:31:53.290290Z,14.13,3,2.2,0,47.0,226,107.8,0,,0.0,0,O'Brien,56.4,402,0.0,361,0.34,0,u,194,0,2,14,Season-long loan to DC United,0.08,0,294,179,0.0,374,,21.1,0.0,0,0.53,0.0,6,1.7,578,22,False,709,567,0.05,362,0.0,5700,88,2.18,0.0,156,159,1,321
527,Jesse Lingard,54,MID,Nott'm Forest,0.49,131,0.05,0.47,345,0,0,134,619385,0.0,,6.1,0,1.18,-6,2023-05-21T23:30:10.308884Z,15.53,6,1.52,0,127.0,60,50.6,0,,0.0,0,Lingard,151.9,352,0.0,219,1.04,0,d,66,0,1,17,Knock - 75% chance of playing,0.15,1,332,155,75.0,436,,32.9,0.0,0,1.51,75.0,12,1.9,918,33,False,760,180,0.1,239,0.0,191784,93,1.67,1.1,190,143,5,123
536,Orel Mangala,49,MID,Nott'm Forest,0.29,156,0.04,0.70,340,1,0,185,6129,0.6,,10.2,0,1.17,-1,2022-11-09T22:30:09.935162Z,29.46,1,1.72,0,75.0,241,191.4,0,,3.2,2,Mangala,61.6,353,0.0,353,0.57,0,a,137,0,3,24,,0.07,1,45,156,100.0,312,,32.8,3.0,0,1.27,100.0,20,1.9,1543,50,False,94,605,0.03,311,3.0,3277,190,1.4,0.0,130,138,5,238
553,Oliver Hammond,42,MID,Nott'm Forest,0.0,236,0.0,0.00,657,0,0,251,6767,0.0,,0.0,0,0.0,-3,,0.00,3,0.0,0,0.0,224,0.0,0,,0.0,0,Hammond,0.0,644,0.0,629,0.00,0,a,329,0,0,0,,0.0,0,201,249,,639,,0.0,0.0,0,0.00,,0,0.0,0,0,False,548,562,0.0,600,0.0,4714,0,0.0,0.0,246,261,0,623
582,Remo Freuler,49,MID,Nott'm Forest,0.25,171,0.03,0.79,339,0,0,124,5336,0.0,,11.0,0,1.0,-1,,41.93,1,1.75,0,54.0,247,272.2,0,,0.0,0,Freuler,174.7,274,0.0,199,0.42,0,a,128,0,4,47,,0.05,0,306,122,,250,,50.3,0.0,0,1.21,,24,1.9,2157,54,False,723,614,0.02,346,0.0,5406,267,1.96,0.0,106,137,6,227
583,Cheikhou Kouyaté,44,MID,Nott'm Forest,0.21,152,0.03,0.33,374,1,0,167,44225,0.2,,8.0,2,1.03,-1,2023-04-08T22:30:08.721056Z,17.06,1,1.76,0,81.0,161,158.8,0,,1.0,1,Kouyaté,82.8,356,0.0,316,0.36,0,a,277,0,3,23,,0.07,0,125,159,100.0,332,,32.2,1.0,0,0.69,100.0,10,1.7,871,35,False,273,443,0.04,301,1.0,47911,144,2.38,0.1,135,158,2,474
585,Emmanuel Dennis,56,FWD,Nott'm Forest,0.13,39,0.05,0.40,302,2,0,44,57095,0.0,4.0,7.0,3,0.76,-4,2023-05-11T14:30:07.950940Z,13.59,4,1.73,0,286.0,64,166.4,0,,0.0,1,Dennis,96.8,262,0.0,294,1.73,0,a,36,0,3,17,,0.27,2,56,42,100.0,328,,54.6,0.2,0,2.13,100.0,6,2.1,709,39,False,402,441,0.22,127,0.2,58549,113,2.16,0.1,36,41,1,98
602,Renan Augusto Lodi dos Santos,43,DEF,Nott'm Forest,0.2,79,0.05,1.30,312,0,0,40,57900,0.6,2.0,13.0,3,1.06,-2,2023-05-09T07:30:08.971836Z,41.30,2,1.68,0,97.0,139,319.0,0,4.0,2.5,1,Renan Lodi,208.2,237,0.0,173,0.94,0,a,148,0,7,48,,0.09,2,35,74,100.0,209,,62.5,2.5,0,2.24,100.0,26,2.0,2211,56,False,125,367,0.04,277,2.5,71144,363,1.95,0.2,80,114,5,574
621,Loïc Badé,45,DEF,Nott'm Forest,0.0,258,0.0,0.00,730,0,0,258,2410,0.0,,0.0,0,0.0,0,2023-01-04T10:45:26.915455Z,0.00,0,0.0,0,0.0,228,0.0,0,,0.0,0,Badé,0.0,723,0.0,717,0.00,0,u,87,0,0,0,Loan ended early,0.0,0,250,258,0.0,721,,0.0,0.0,0,0.00,0.0,0,0.0,0,0,False,671,625,0.0,706,0.0,1949,0,0.0,0.0,258,258,0,437
628,Serge Aurier,43,DEF,Nott'm Forest,0.28,71,0.04,0.92,164,1,0,49,208094,0.6,,16.3,8,1.02,-2,2023-05-09T07:30:09.004860Z,33.13,2,1.53,0,112.0,114,431.0,0,,2.2,2,Aurier,164.1,215,0.0,206,0.74,0,a,126,0,2,31,,0.07,0,34,63,100.0,145,,70.9,2.5,1,1.66,100.0,22,2.9,1943,70,False,124,313,0.03,261,2.5,232293,336,1.44,0.3,50,53,6,540
666,Dale Taylor,45,FWD,Nott'm Forest,0.0,85,0.0,0.00,739,0,0,84,3558,0.0,,0.0,0,0.0,0,2023-01-23T12:40:55.215793Z,0.00,0,0.0,0,0.0,91,0.0,0,,0.0,0,Dale Taylor,0.0,734,0.0,728,0.00,0,u,85,0,0,0,Season-long loan to Burton Albion,0.0,0,77,85,0.0,732,,0.0,0.0,0,0.00,0.0,0,0.0,0,0,False,682,671,0.0,717,0.0,3777,0,0.0,0.0,84,85,0,452
675,Jordan Smith,40,GKP,Nott'm Forest,0.0,38,0.0,0.00,597,0,0,47,788,0.0,,0.0,0,0.0,0,2023-02-03T09:32:37.580445Z,0.00,0,0.0,0,0.0,79,0.0,0,,0.0,0,Smith,0.0,584,0.0,565,0.00,0,u,43,0,0,0,Season-long loan to Huddersfield Town,0.0,0,56,64,0.0,580,,0.0,0.0,0,0.00,0.0,0,0.0,0,0,False,462,725,0.0,530,0.0,871,0,0.0,0.0,64,64,0,662
681,Gustavo Henrique Furtado Scarpa,46,MID,Nott'm Forest,0.0,198,0.02,0.04,544,0,0,210,1937,0.0,,1.1,0,1.02,-4,2023-04-08T22:30:08.824815Z,2.87,4,1.46,0,25.0,291,15.0,0,,0.0,0,Scarpa,17.3,472,0.0,423,0.23,0,d,199,0,1,1,Calf injury - 25% chance of playing,0.14,0,285,213,25.0,478,,5.7,0.0,0,0.27,25.0,2,0.8,177,5,False,700,710,0.12,407,0.0,2140,16,0.51,0.0,212,255,0,331
703,Danilo dos Santos de Oliveira,45,MID,Nott'm Forest,0.09,136,0.05,0.56,80,3,0,155,10461,0.8,,10.7,5,1.11,0,2023-05-21T23:30:10.461194Z,20.32,0,1.87,0,113.0,131,253.8,0,,4.7,0,Danilo,108.1,290,0.0,278,1.58,0,d,253,0,1,18,Knock - 75% chance of playing,0.2,2,31,131,75.0,267,,47.1,3.8,0,2.14,75.0,12,3.7,976,48,False,60,375,0.15,257,2.8,29094,178,1.66,0.2,111,35,1,442
729,Keylor Navas,45,GKP,Nott'm Forest,0.12,69,0.0,0.01,227,0,0,76,104730,0.7,,9.6,5,1.0,0,2023-05-21T23:30:10.516145Z,33.00,0,1.94,0,0.0,32,387.6,0,,0.0,0,Navas,0.0,328,3.0,662,0.00,0,i,15,51,2,32,Groin Injury - Expected back 01 Jul,0.0,0,13,21,0.0,173,,38.7,3.0,0,0.01,0.0,17,2.5,1530,43,False,91,207,0.0,645,0.0,184433,273,1.88,0.8,21,30,2,341
