id,name,now_cost,position,team,clean_sheets_per_90,threat_rank_type,expected_assists_per_90,expected_assists,points_per_game_rank,goals_scored,penalties_missed,creativity_rank_type,transfers_out,value_form,direct_freekicks_order,value_season,bonus,starts_per_90,cost_change_start,news_added,expected_goals_conceded,cost_change_start_fall,expected_goals_conceded_per_90,red_cards,threat,selected_rank_type,influence,penalties_saved,corners_and_indirect_freekicks_order,ep_next,event_points,web_name,creativity,ict_index_rank,saves_per_90,creativity_rank,expected_goals,own_goals,status,now_cost_rank_type,saves,yellow_cards,goals_conceded,news,expected_goal_involvements_per_90,assists,form_rank_type,ict_index_rank_type,chance_of_playing_next_round,influence_rank,penalties_order,ict_index,form,dreamteam_count,expected_goal_involvements,chance_of_playing_this_round,starts,points_per_game,minutes,total_points,in_dreamteam,form_rank,selected_rank,expected_goals_per_90,threat_rank,ep_this,transfers_in,bps,goals_conceded_per_90,selected_by_percent,influence_rank_type,points_per_game_rank_type,clean_sheets,now_cost_rank
3,Granit Xhaka,48,MID,Arsenal,0.39,38,0.12,3.89,47,7,0,25,832169,1.4,2.0,31.9,15,1.08,-2,2023-04-22T08:30:07.774962Z,36.52,2,1.1,0,498.0,41,647.0,0,,5.3,15,Xhaka,673.3,41,0.0,32,4.65,0,a,157,0,4,35,,0.26,8,2,28,100.0,60,,182.0,6.8,2,8.54,100.0,36,4.1,2992,153,False,5,118,0.14,62,7.3,942505,634,1.05,2.7,23,23,13,265
4,Mohamed Elneny,41,MID,Arsenal,0.0,233,0.03,0.04,457,0,0,221,279536,0.0,,1.5,0,0.81,-4,2023-01-26T10:00:07.778526Z,1.29,4,1.05,0,0.0,81,4.6,0,,0.0,0,Elneny,5.4,505,0.0,460,0.00,0,i,335,0,0,2,Knee injury - Unknown return date,0.03,0,194,227,0.0,505,,1.1,0.0,1,0.04,0.0,1,1.2,111,6,False,528,249,0.0,593,0.0,202760,27,1.62,0.6,226,201,0,634
5,Rob Holding,42,DEF,Arsenal,0.0,118,0.02,0.15,405,1,0,159,27980,0.0,,5.0,0,0.96,-3,,11.14,3,1.78,0,54.0,143,152.0,0,,0.7,0,Holding,10.3,399,0.0,448,0.32,0,a,160,0,0,13,,0.07,0,121,146,,339,,21.6,0.2,0,0.47,,6,1.5,562,21,False,376,377,0.05,341,0.7,23338,120,2.08,0.2,137,144,0,598
6,Thomas Partey,47,MID,Arsenal,0.4,90,0.08,2.17,210,3,0,59,141958,0.3,,18.3,6,1.02,-3,2023-03-31T15:30:08.770925Z,32.27,3,1.17,0,240.0,95,513.2,0,,1.5,3,Partey,439.6,97,0.0,70,2.59,0,a,186,0,5,28,,0.17,0,108,68,100.0,110,,119.5,1.4,0,4.76,100.0,28,2.6,2480,86,False,233,284,0.09,152,1.9,110171,468,1.02,0.4,47,80,11,311
7,Martin Ødegaard,69,MID,Arsenal,0.37,8,0.23,8.02,7,15,0,5,5015435,0.9,1.0,30.7,30,1.06,4,2023-03-09T22:30:08.763464Z,37.94,-4,1.09,0,920.0,3,960.0,0,3.0,7.7,3,Ødegaard,1100.4,6,0.0,7,9.75,0,a,22,0,4,38,,0.51,8,3,4,100.0,10,,298.3,6.4,5,17.77,100.0,37,5.7,3132,212,True,8,5,0.28,18,6.9,7014051,813,1.09,33.3,3,3,13,44
8,Kieran Tierney,46,DEF,Arsenal,0.12,108,0.05,0.43,432,0,0,101,158213,0.2,,8.0,0,0.7,-4,2023-03-29T08:30:08.049621Z,10.90,4,1.27,0,67.0,75,144.0,0,,1.5,1,Tierney,85.5,366,0.0,313,0.38,0,a,57,0,0,10,,0.09,1,92,129,100.0,350,,29.9,1.0,0,0.81,100.0,6,1.4,774,37,False,280,208,0.04,323,1.5,98909,164,1.16,0.8,144,154,1,332
9,Nicolas Pépé,53,MID,Arsenal,0.0,334,0.0,0.00,769,0,0,334,36735,0.0,,0.0,0,0.0,-2,2022-08-26T07:24:29.541862Z,0.00,2,0.0,0,0.0,162,0.0,0,,0.0,0,Pépé,0.0,769,0.0,767,0.00,0,u,78,0,0,0,Season-long loan to Nice,0.0,0,327,334,0.0,768,,0.0,0.0,0,0.00,0.0,0,0.0,0,0,False,753,445,0.0,765,0.0,5198,0,0.0,0.1,334,334,0,146
10,Benjamin White,50,DEF,Arsenal,0.44,38,0.11,3.60,49,2,0,8,2217969,0.7,,31.2,12,1.06,5,,37.23,-5,1.1,0,159.0,6,649.0,0,,3.3,6,White,491.2,84,0.0,61,1.25,0,a,24,0,5,35,,0.15,5,19,9,,59,,130.0,3.4,1,4.85,,36,4.1,3054,156,True,69,21,0.04,208,3.9,3320417,734,1.03,16.1,17,6,15,197
11,Eddie Nketiah,63,FWD,Arsenal,0.17,17,0.11,1.26,303,4,0,38,1865358,0.1,,10.0,5,0.76,-7,2023-03-02T00:00:07.606120Z,14.65,7,1.23,0,598.0,24,213.4,0,,1.0,1,Nketiah,128.2,143,0.0,247,7.89,0,a,27,0,3,16,,0.77,2,48,24,100.0,294,,93.1,0.6,1,9.15,100.0,9,2.1,1071,63,False,332,145,0.66,43,1.1,1928295,161,1.34,1.8,33,42,2,61
12,Emile Smith Rowe,56,MID,Arsenal,0.0,186,0.31,0.55,421,0,0,180,151276,0.2,,3.2,0,0.0,-4,2023-02-03T10:30:09.166437Z,2.71,4,1.51,0,39.0,101,36.6,0,,0.7,4,Smith Rowe,64.3,427,0.0,348,0.25,0,a,50,0,0,5,,0.45,2,137,192,100.0,455,,13.8,1.0,0,0.80,100.0,0,1.5,161,18,False,290,301,0.14,383,1.5,29334,60,2.8,0.4,200,183,0,95
13,Bukayo Saka,80,MID,Arsenal,0.34,4,0.17,5.97,12,14,1,6,5658739,0.4,,25.2,19,1.05,0,2023-05-26T15:00:11.378383Z,39.66,0,1.12,0,1164.0,6,972.2,0,1.0,2.0,6,Saka,1091.8,5,0.0,8,11.49,0,d,8,0,6,42,Knock - 75% chance of playing,0.49,12,50,3,75.0,8,1.0,322.8,3.0,7,17.46,75.0,37,5.3,3183,202,True,103,11,0.32,9,2.6,6134396,678,1.19,25.6,2,6,12,18
14,Takehiro Tomiyasu,42,DEF,Arsenal,0.28,115,0.03,0.23,406,0,0,99,224586,0.0,,7.6,0,0.83,-3,2023-03-17T00:00:06.857640Z,8.93,3,1.23,0,55.0,101,137.0,0,,0.0,0,Tomiyasu,86.6,373,0.0,310,0.24,0,i,168,0,2,11,Knee injury - Expected back 01 Jul,0.06,1,209,131,0.0,357,,27.7,0.0,0,0.47,0.0,6,1.5,651,32,False,538,276,0.03,338,0.0,89696,173,1.52,0.5,145,145,2,609
15,Aaron Ramsdale,48,GKP,Arsenal,0.37,75,0.0,0.02,71,0,0,80,2122893,1.0,,29.8,9,1.0,-2,2022-08-31T22:30:06.428076Z,42.31,2,1.11,0,0.0,7,761.4,0,,4.7,6,Ramsdale,0.0,191,2.47,750,0.00,0,a,11,94,1,43,,0.0,0,4,8,100.0,29,,76.2,4.6,3,0.02,100.0,38,3.8,3420,143,False,33,40,0.0,743,5.1,1717985,664,1.13,11.4,8,14,14,283
16,Gabriel dos Santos Magalhães,52,DEF,Arsenal,0.37,3,0.02,0.66,74,3,0,63,2469370,0.7,,28.1,15,1.0,2,2023-05-03T06:30:06.887452Z,41.84,-2,1.1,0,401.0,11,733.8,0,,3.3,6,Gabriel,129.7,86,0.0,244,5.04,0,a,17,0,5,43,,0.15,0,20,10,100.0,37,,126.5,3.4,3,5.70,100.0,38,3.8,3409,146,False,71,30,0.13,87,3.9,2905664,723,1.14,13.4,8,15,14,162
17,Nuno Varela Tavares,45,DEF,Arsenal,0.0,255,0.0,0.00,702,0,0,256,1980,0.0,,0.0,0,0.0,0,2022-07-31T21:00:04.269675Z,0.00,0,0.0,0,0.0,250,0.0,0,,0.0,0,Tavares,0.0,691,0.0,686,0.00,0,u,81,0,0,0,Joined Marseille on loan - Expected back 01 Jul,0.0,0,247,256,0.0,687,,0.0,0.0,0,0.00,0.0,0,0.0,0,0,False,636,697,0.0,670,0.0,0,0,0.0,0.0,256,256,0,390
19,Gabriel Martinelli Silva,65,MID,Arsenal,0.45,3,0.23,6.98,10,15,0,14,7632579,0.2,3.0,30.5,18,1.1,5,2023-05-14T20:00:08.628890Z,36.16,-5,1.17,0,1300.0,5,844.2,0,4.0,0.0,0,Martinelli,838.1,7,0.0,17,9.15,0,i,28,0,3,33,Ankle injury - Expected back 01 Jul,0.53,9,105,5,0.0,19,3.0,298.1,1.6,4,16.13,0.0,34,5.5,2789,198,True,224,10,0.3,5,0.0,7872522,648,1.06,26.3,9,5,14,56
20,Pablo Marí Villar,45,DEF,Arsenal,0.0,251,0.0,0.00,683,0,0,253,4185,0.0,,0.0,0,0.0,0,2022-08-12T14:22:56.974936Z,0.00,0,0.0,0,0.0,234,0.0,0,,0.0,0,Pablo Marí,0.0,672,0.0,666,0.00,0,u,64,0,0,0,Season-long loan to Monza,0.0,0,241,253,0.0,667,,0.0,0.0,0,0.00,0.0,0,0.0,0,0,False,612,651,0.0,649,0.0,162,0,0.0,0.0,253,253,0,349
22,Lucas Torreira di Pascua,45,MID,Arsenal,0.0,263,0.0,0.00,690,0,0,271,39180,0.0,,0.0,0,0.0,0,2022-08-10T10:32:07.133718Z,0.00,0,0.0,0,0.0,172,0.0,0,,0.0,0,Torreira,0.0,679,0.0,673,0.00,0,u,209,0,0,0,Transferred to Galatasaray,0.0,0,234,269,0.0,674,,0.0,0.0,0,0.00,0.0,0,0.0,0,0,False,621,467,0.0,657,0.0,2811,0,0.0,0.1,266,280,0,367
23,Reiss Nelson,47,MID,Arsenal,0.45,125,0.44,0.99,70,3,0,158,17959,0.2,,8.9,5,0.0,-3,2023-05-21T23:30:09.292114Z,2.16,3,0.96,0,155.0,205,169.8,0,,1.0,1,Nelson,99.2,311,0.0,290,1.09,0,d,190,0,0,3,Illness - 75% chance of playing,0.93,3,141,141,75.0,325,,42.4,0.8,2,2.08,75.0,0,3.8,202,42,False,300,534,0.49,213,1.0,17506,127,1.34,0.0,133,31,1,316
24,Matt Turner,38,GKP,Arsenal,0.0,11,0.0,0.00,561,0,0,21,228275,0.0,,0.0,0,0.0,-2,2022-10-27T22:30:07.060057Z,0.00,2,0.0,0,0.0,25,0.0,0,,0.5,0,Turner,0.0,547,0.0,522,0.00,0,a,84,0,0,0,,0.0,0,36,44,100.0,543,,0.0,0.0,0,0.00,100.0,0,0.0,0,0,False,422,165,0.0,485,0.5,240980,0,0.0,1.4,44,45,0,772
25,Fábio Ferreira Vieira,56,MID,Arsenal,0.36,132,0.25,1.39,369,1,0,120,32035,0.1,,7.1,2,0.54,-4,2022-08-04T15:00:05.309562Z,5.28,4,0.95,0,123.0,148,115.2,0,,0.7,1,Fábio Vieira,180.1,317,0.0,191,0.86,0,a,54,0,0,5,,0.4,2,172,143,100.0,369,,41.4,0.4,1,2.25,100.0,3,1.8,500,40,False,360,411,0.15,245,0.9,21196,134,0.9,0.1,152,157,2,102
26,William Saliba,49,DEF,Arsenal,0.45,69,0.01,0.32,29,2,0,87,4620329,0.0,,23.9,14,1.01,4,2023-03-17T00:00:06.900817Z,26.86,-4,1.0,0,114.0,7,529.0,0,,0.0,0,Saliba,100.8,199,0.0,287,0.91,1,i,34,0,4,25,Back injury - Unknown return date,0.04,1,254,55,0.0,105,,74.5,0.0,2,1.23,0.0,27,4.3,2415,117,False,730,23,0.03,254,0.0,5425985,571,0.93,15.6,35,3,12,252
27,Marcus Oliveira Alencar,46,MID,Arsenal,0.0,315,0.0,0.00,518,0,0,247,14818,0.0,,0.2,0,0.0,-4,2023-01-31T13:56:28.318276Z,0.00,4,0.0,0,0.0,181,0.0,0,,0.0,0,Marquinhos,0.2,749,0.0,507,0.00,0,u,202,0,0,0,Season-long loan to Norwich City,0.0,0,287,319,0.0,748,,0.0,0.0,0,0.00,0.0,0,1.0,1,1,False,702,485,0.0,735,0.0,7000,3,0.0,0.1,319,239,0,338
28,Gabriel Fernando de Jesus,81,FWD,Arsenal,0.39,3,0.13,2.91,15,11,0,6,8366682,0.6,,15.4,17,1.05,1,2022-12-04T08:30:06.137006Z,23.15,-1,1.01,0,1282.0,3,594.2,0,,3.5,12,Jesus,407.3,20,0.0,80,14.24,0,a,9,0,6,23,,0.75,7,6,6,100.0,78,2.0,228.3,4.8,2,17.15,100.0,24,4.8,2064,125,False,30,8,0.62,6,5.3,3780822,401,1.0,28.3,7,5,9,14
111,Leandro Trossard,66,MID,Arsenal,0.32,11,0.24,6.02,32,8,0,23,4595357,0.5,,23.3,8,1.05,1,2023-05-26T15:00:11.583349Z,30.79,-1,1.24,0,859.0,18,620.0,0,2.0,1.5,9,Trossard,687.1,23,0.0,30,6.37,0,d,25,0,1,38,Knock - 75% chance of playing,0.5,13,49,15,75.0,68,,216.6,3.0,3,12.39,75.0,26,4.3,2237,154,False,102,55,0.26,22,2.6,5012558,494,1.53,7.2,28,14,8,49
130,Jorge Luiz Frello Filho,57,MID,Arsenal,0.38,146,0.04,0.96,233,2,0,97,603430,0.5,,13.9,5,1.02,-3,2023-03-02T00:00:07.754347Z,24.41,3,1.03,0,97.0,47,386.4,0,,3.3,3,Jorginho,254.1,203,0.0,142,1.89,0,a,42,0,4,23,,0.12,2,55,103,100.0,175,,73.9,2.8,1,2.85,100.0,24,2.5,2127,79,False,115,136,0.08,278,3.3,449419,379,0.97,1.9,72,90,9,80
313,Oleksandr Zinchenko,50,DEF,Arsenal,0.42,30,0.1,2.39,83,1,0,12,4119808,0.3,,19.8,8,1.1,0,2023-05-12T07:30:08.369212Z,26.67,0,1.13,0,190.0,16,405.0,0,,0.0,0,Zinchenko,387.7,132,0.0,86,1.32,0,i,28,0,3,28,Calf injury - Expected back 01 Jul,0.16,2,72,26,0.0,161,,98.3,1.6,2,3.71,0.0,26,3.7,2122,99,False,219,46,0.06,185,0.0,3068591,500,1.19,9.0,60,20,10,204
607,Matthew Smith,44,MID,Arsenal,0.0,247,0.0,0.00,669,0,0,257,12653,0.0,,0.0,0,0.0,-1,,0.00,1,0.0,0,0.0,171,0.0,0,,0.5,0,Smith,0.0,658,0.0,648,0.00,0,a,285,0,0,0,,0.0,0,216,255,,653,,0.0,0.0,0,0.00,,0,0.0,0,0,False,591,466,0.0,629,0.5,14556,0,0.0,0.1,252,266,0,513
630,Ethan Nwaneri,45,MID,Arsenal,0.0,291,0.0,0.00,508,0,0,297,1384,0.0,,0.2,0,0.0,0,2023-05-24T21:30:09.710058Z,0.00,0,0.0,0,0.0,268,0.0,0,,0.0,0,Nwaneri,0.0,721,0.0,715,0.00,0,i,247,0,0,0,International Duty - Expected back 02 Jun,0.0,0,263,296,0.0,719,,0.0,0.0,0,0.00,0.0,0,1.0,1,1,False,670,674,0.0,704,0.0,1680,3,0.0,0.0,295,230,0,435
631,Lino Sousa,40,DEF,Arsenal,0.0,225,0.0,0.00,640,0,0,230,7450,0.0,,0.0,0,0.0,0,,0.00,0,0.0,0,0.0,174,0.0,0,,0.5,0,Sousa,0.0,626,0.0,608,0.00,0,a,222,0,0,0,,0.0,0,190,232,,622,,0.0,0.0,0,0.00,,0,0.0,0,0,False,510,470,0.0,577,0.5,8687,0,0.0,0.1,233,234,0,712
655,Karl Hein,39,GKP,Arsenal,0.0,24,0.0,0.00,580,0,0,34,2093,0.0,,0.0,0,0.0,-1,,0.00,1,0.0,0,0.0,67,0.0,0,,0.5,0,Hein,0.0,567,0.0,546,0.00,0,a,74,0,0,0,,0.0,0,45,53,,563,,0.0,0.0,0,0.00,,0,0.0,0,0,False,445,640,0.0,510,0.5,2601,0,0.0,0.0,53,53,0,753
668,Amario Cozier-Duberry,45,MID,Arsenal,0.0,301,0.0,0.00,738,0,0,307,238,0.0,,0.0,0,0.0,0,,0.00,0,0.0,0,0.0,292,0.0,0,,0.5,0,Cozier-Duberry,0.0,732,0.0,726,0.00,0,a,261,0,0,0,,0.0,0,273,306,,730,,0.0,0.0,0,0.00,,0,0.0,0,0,False,681,711,0.0,715,0.5,502,0,0.0,0.0,305,312,0,450
685,Nathan Butler-Oyedeji,45,FWD,Arsenal,0.0,77,0.0,0.00,710,0,0,78,699,0.0,,0.0,0,0.0,0,2023-01-31T23:21:06.874787Z,0.00,0,0.0,0,0.0,92,0.0,0,,0.0,0,Butler-Oyedeji,0.0,699,0.0,694,0.00,0,u,75,0,0,0,Season-long loan to Accrington Stanley,0.0,0,69,79,0.0,695,,0.0,0.0,0,0.00,0.0,0,0.0,0,0,False,645,712,0.0,678,0.0,735,0,0.0,0.0,78,79,0,401
710,Jakub Kiwior,40,DEF,Arsenal,0.42,167,0.0,0.01,76,1,0,167,4336,1.2,,6.5,1,1.06,0,,6.46,0,1.37,0,4.0,127,53.6,0,,3.3,13,Kiwior,4.1,468,0.0,462,0.10,0,a,200,0,0,6,,0.02,0,6,162,,432,,6.3,4.8,1,0.11,,5,3.7,425,26,False,28,343,0.02,455,5.3,32094,111,1.27,0.3,159,16,2,681
751,Reuell Walters,40,DEF,Arsenal,0.0,231,0.0,0.00,647,0,0,236,310,0.0,,0.0,0,0.0,0,,0.00,0,0.0,0,0.0,245,0.0,0,,0.5,0,Walters,0.0,634,0.0,616,0.00,0,a,229,0,0,0,,0.0,0,197,238,,629,,0.0,0.0,0,0.00,,0,0.0,0,0,False,519,679,0.0,585,0.5,569,0,0.0,0.0,238,239,0,721
767,Mauro Bandeira,45,MID,Arsenal,0.0,294,0.0,0.00,732,0,0,300,4,0.0,,0.0,0,0.0,0,,0.00,0,0.0,0,0.0,332,0.0,0,,1.9,0,Bandeira,0.0,725,0.0,719,0.00,0,a,250,0,0,0,,0.0,0,265,299,,723,,0.0,0.0,0,0.00,,0,0.0,0,0,False,673,771,0.0,708,0.5,44,0,0.0,0.0,298,306,0,439
29,Philippe Coutinho Correia,66,MID,Aston Villa,0.35,101,0.08,0.65,402,1,0,133,1484303,0.0,4.0,4.8,1,0.81,-4,2023-05-13T17:30:09.051528Z,8.11,4,0.94,0,218.0,39,119.2,0,5.0,0.0,0,Coutinho,152.5,281,0.0,217,1.37,0,i,24,0,3,9,Knock - Expected back 01 Jul,0.24,0,336,125,0.0,364,2.0,48.8,0.0,0,2.02,0.0,7,1.6,777,32,False,771,115,0.16,167,0.0,234097,98,1.04,2.9,149,174,3,47
31,Emiliano Martínez Romero,50,GKP,Aston Villa,0.32,79,0.01,0.21,73,0,0,2,1032874,0.5,,27.0,15,1.03,0,2023-04-22T17:30:07.881117Z,43.46,0,1.25,0,0.0,9,813.0,1,,2.2,3,Martínez,23.0,167,2.81,411,0.00,1,a,7,98,7,38,,0.01,0,15,6,100.0,20,,83.5,2.4,3,0.21,100.0,36,3.8,3139,135,False,132,58,0.0,751,2.4,1063341,678,1.09,6.6,6,15,11,187
32,Calum Chambers,42,DEF,Aston Villa,0.0,161,0.05,0.19,535,0,0,141,27653,0.0,,3.1,0,0.52,-3,2023-05-18T14:00:09.040494Z,5.88,3,1.53,0,8.0,145,74.4,0,,0.2,0,Chambers,29.8,442,0.0,398,0.14,0,a,155,0,2,4,,0.09,0,117,157,100.0,408,,11.1,0.2,0,0.33,100.0,2,0.9,345,13,False,372,387,0.04,442,0.2,11323,67,1.04,0.2,153,177,0,592
33,Lucas Digne,45,DEF,Aston Villa,0.18,84,0.11,1.90,354,1,0,21,633382,0.2,2.0,11.1,4,1.09,-5,2023-01-14T08:00:07.869716Z,25.91,5,1.56,0,92.0,59,271.4,0,3.0,0.5,2,Digne,293.3,228,0.0,122,0.43,1,a,65,0,5,25,,0.14,0,98,69,100.0,251,,65.8,0.8,1,2.33,100.0,18,1.8,1492,50,False,298,173,0.03,284,0.8,352817,234,1.51,1.2,96,128,3,350
34,Bertrand Traoré,49,MID,Aston Villa,0.4,154,0.05,0.12,230,2,0,201,23944,0.1,,4.1,1,0.4,-1,2022-08-22T19:30:06.057056Z,1.65,1,0.66,0,79.0,182,82.0,0,,0.5,0,Traoré,30.7,410,0.0,396,0.75,0,a,130,0,1,1,,0.35,0,168,182,100.0,405,,19.0,0.4,0,0.87,100.0,1,2.5,226,20,False,356,486,0.3,305,0.4,8704,57,0.4,0.1,174,87,1,229
35,Robin Olsen,39,GKP,Aston Villa,0.32,17,0.0,0.00,220,0,0,27,170088,0.0,,2.6,1,0.64,-1,2022-12-22T11:30:06.990947Z,8.56,1,2.75,0,0.0,24,83.2,0,,0.0,0,Olsen,0.0,455,3.54,533,0.00,0,a,67,11,0,8,,0.0,0,40,31,100.0,404,,8.2,0.0,0,0.00,100.0,2,2.5,280,10,False,432,164,0.0,496,0.0,122706,62,2.57,1.4,31,29,1,736
36,Morgan Sanson,43,MID,Aston Villa,0.0,237,0.0,0.00,484,0,0,238,48357,0.0,,0.5,0,0.0,-2,2023-01-25T09:48:37.040310Z,0.40,2,3.6,0,0.0,128,4.2,0,,0.0,0,Sanson,0.5,523,0.0,494,0.00,0,u,299,0,0,1,Season-long loan to Strasbourg,0.0,0,203,236,0.0,508,,0.4,0.0,0,0.00,0.0,0,1.0,10,2,False,558,368,0.0,606,0.0,29851,6,9.0,0.2,229,214,0,549
37,John McGinn,51,MID,Aston Villa,0.33,70,0.11,3.33,214,1,0,74,190897,0.3,,17.6,3,1.0,-4,2023-01-02T01:30:08.408535Z,37.73,4,1.26,0,326.0,82,375.0,0,2.0,1.8,1,McGinn,349.2,114,0.0,100,2.40,0,a,98,0,7,31,,0.19,5,103,74,100.0,189,,105.1,1.6,1,5.73,100.0,30,2.6,2692,90,False,220,253,0.08,111,1.6,71067,354,1.04,0.6,78,84,10,173
38,Kortney Hause,44,DEF,Aston Villa,0.0,245,0.0,0.00,665,0,0,247,2935,0.0,,0.0,0,0.0,-1,2022-08-05T11:30:05.731214Z,0.00,1,0.0,0,0.0,248,0.0,0,,0.0,0,Hause,0.0,653,0.0,643,0.00,0,u,97,0,0,0,Joined Watford on loan - Expected back 01 Jul,0.0,0,229,248,0.0,648,,0.0,0.0,0,0.00,0.0,0,0.0,0,0,False,578,687,0.0,622,0.0,89,0,0.0,0.0,248,248,0,487
39,Tyrone Mings,47,DEF,Aston Villa,0.34,63,0.03,0.95,81,1,0,97,1363664,0.3,,27.7,17,1.0,2,2023-02-12T22:30:09.087745Z,47.28,-2,1.35,0,121.0,12,657.2,0,,1.5,1,Mings,87.7,158,0.0,308,0.96,1,a,51,0,7,40,,0.06,3,77,35,100.0,55,,87.0,1.4,4,1.91,100.0,35,3.7,3150,130,False,232,37,0.03,246,1.4,2097342,617,1.14,12.5,13,18,12,307
40,Ollie Watkins,73,FWD,Aston Villa,0.37,4,0.08,2.66,18,15,1,5,3125186,0.4,,24.0,25,1.04,-2,2023-01-14T08:00:07.885748Z,46.65,2,1.34,0,1268.0,6,792.0,0,,1.8,9,Watkins,408.5,15,0.0,79,16.15,0,a,15,0,4,40,,0.54,8,11,4,100.0,22,1.0,247.0,3.2,3,18.81,100.0,36,4.7,3129,175,False,85,33,0.46,7,3.2,4129586,550,1.15,12.8,4,6,13,30
41,Marvelous Nakamba,43,MID,Aston Villa,0.0,239,0.0,0.00,659,0,0,252,31691,0.0,,0.0,0,0.0,-2,2023-01-31T23:15:04.679476Z,0.00,2,0.0,0,0.0,158,0.0,0,,0.0,0,Nakamba,0.0,647,0.0,635,0.00,0,u,304,0,0,0,Season-long loan to Luton,0.0,0,205,250,0.0,642,,0.0,0.0,0,0.00,0.0,0,0.0,0,0,False,564,438,0.0,610,0.0,18713,0,0.0,0.1,247,262,0,560
42,Emiliano Buendía Stati,57,MID,Aston Villa,0.41,31,0.15,3.95,146,5,0,40,260297,0.3,,20.5,8,1.01,-3,,36.65,3,1.37,0,580.0,73,438.2,0,,2.0,1,Buendía,546.3,59,0.0,49,6.32,0,a,45,0,0,34,,0.39,3,94,40,,141,,156.6,1.8,0,10.27,,27,3.1,2404,117,False,201,220,0.24,50,1.8,274210,370,1.27,0.7,60,60,11,83
43,Matty Cash,46,DEF,Aston Villa,0.2,109,0.05,0.95,274,0,0,46,1788226,0.2,,12.4,3,0.99,-4,2023-03-25T22:00:08.093504Z,27.14,4,1.34,0,67.0,35,298.4,0,,0.8,1,Cash,178.0,263,0.0,195,0.20,0,a,58,0,4,29,,0.06,2,99,87,100.0,224,,54.4,0.8,1,1.15,100.0,20,2.2,1817,57,False,299,106,0.01,324,0.8,406341,311,1.44,3.1,82,101,4,333
44,Ezri Konsa Ngoyo,44,DEF,Aston Villa,0.33,102,0.02,0.71,168,0,0,74,136598,0.4,,25.0,6,1.0,-1,2022-07-05T15:30:04.118376Z,50.67,1,1.37,0,72.0,65,560.4,0,,1.8,2,Konsa,116.1,196,0.0,264,1.08,0,a,109,0,6,45,,0.05,0,58,53,100.0,91,,74.9,1.8,0,1.79,100.0,37,2.9,3322,110,False,184,188,0.03,314,1.8,214232,633,1.22,1.0,26,56,12,502
45,Leon Bailey,43,MID,Aston Villa,0.37,33,0.22,4.77,152,4,0,60,2379892,0.5,3.0,23.3,6,1.19,-7,2023-04-08T22:30:07.902543Z,35.15,7,1.61,0,532.0,40,334.2,0,4.0,2.0,2,Bailey,439.1,83,0.0,71,5.34,0,a,307,0,4,32,,0.46,5,74,60,100.0,205,,130.1,2.0,2,10.11,100.0,26,3.0,1964,100,False,159,117,0.24,55,2.0,1103647,242,1.47,2.7,84,62,8,569
46,Douglas Luiz Soares de Paulo,48,MID,Aston Villa,0.4,88,0.09,2.92,72,6,0,30,174571,1.2,1.0,29.6,17,1.02,-2,2023-01-02T01:30:08.503948Z,42.80,2,1.32,1,242.0,66,661.6,0,1.0,5.5,7,Douglas Luiz,655.4,60,0.0,37,2.79,0,a,171,0,6,35,,0.18,7,8,41,100.0,53,,155.8,5.8,2,5.71,100.0,33,3.8,2922,142,False,14,193,0.09,149,5.8,213403,594,1.08,1.0,22,32,13,286
47,Jacob Ramsey,51,MID,Aston Villa,0.38,51,0.1,2.89,64,6,0,49,387464,1.1,,26.5,13,1.06,-4,2022-12-20T01:00:07.011748Z,40.50,4,1.38,0,424.0,56,607.2,0,,5.0,9,Ramsey,496.7,65,0.0,59,5.07,1,a,102,0,5,33,,0.27,8,9,45,100.0,72,,152.8,5.8,3,7.96,100.0,31,3.9,2634,135,False,15,160,0.17,80,5.8,352106,470,1.13,1.5,31,28,11,179
49,Tim Iroegbunam,45,MID,Aston Villa,0.0,286,0.0,0.00,723,0,0,294,4027,0.0,,0.0,0,0.0,0,2022-09-02T11:07:08.174211Z,0.00,0,0.0,0,0.0,259,0.0,0,,0.0,0,Iroegbunam,0.0,714,0.0,709,0.00,0,u,239,0,0,0,Season-long loan to QPR,0.0,0,257,292,0.0,710,,0.0,0.0,0,0.00,0.0,0,0.0,0,0,False,660,645,0.0,695,0.0,1334,0,0.0,0.0,289,301,0,422
50,Diego Carlos Santos Silva,47,DEF,Aston Villa,0.0,140,0.05,0.11,453,0,0,157,103129,0.0,,0.9,0,0.88,-3,2023-05-20T17:30:08.813186Z,1.92,3,0.84,0,32.0,129,24.8,0,,0.2,0,Diego Carlos,13.2,463,0.0,440,0.36,0,a,52,0,0,3,,0.21,0,129,161,100.0,471,,7.0,0.2,0,0.47,100.0,2,1.3,205,4,False,394,352,0.16,391,0.2,15706,20,1.32,0.2,167,157,0,310
51,Anwar El Ghazi,48,MID,Aston Villa,0.0,321,0.0,0.00,755,0,0,324,13417,0.0,,0.0,0,0.0,-2,2022-09-01T08:52:22.652805Z,0.00,2,0.0,0,0.0,233,0.0,0,,0.0,0,El Ghazi,0.0,753,0.0,748,0.00,0,u,165,0,0,0,Transferred to PSV Eindhoven,0.0,0,302,323,0.0,752,,0.0,0.0,0,0.00,0.0,0,0.0,0,0,False,717,592,0.0,741,0.0,2511,0,0.0,0.0,323,325,0,276
