first_name,points_per_game,second_name,selected_by_percent,team,total_points,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,creativity_rank,threat_rank,ict_index_rank,position,price,G+A,price_range,ownership
Bernd,3.7,Leno,2.3,ARS,131,26.2,Leno,3131,0,0,11,37,86,11,625,702.2,0.0,2.0,70.3,42,436,327,198,Goalkeeper,5.0,0,Mid,Differential
Rúnar Alex,1.0,Rúnarsson,1.2,ARS,1,0.2,Rúnarsson,15,0,0,0,0,2,0,8,16.6,0.0,0.0,1.7,351,347,340,357,Goalkeeper,4.0,0,Budget,Differential
Jed,0.0,Steer,1.0,AVL,0,0.0,Steer,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,368,344,337,368,Goalkeeper,4.0,0,Budget,Differential
Emiliano,4.9,Martínez,38.8,AVL,186,33.8,Martínez,3420,0,0,15,46,142,27,825,1067.2,20.0,0.0,108.5,3,303,462,110,Goalkeeper,5.5,0,Mid,High
David,0.0,Raya Martin,1.8,BRE,0,0.0,Raya,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,399,386,380,399,Goalkeeper,4.5,0,Budget,Differential
Ellery,0.0,Balcombe,0.1,BRE,0,0.0,Balcombe,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,376,353,347,376,Goalkeeper,4.0,0,Budget,Differential
Patrik,0.0,Gunnarsson,1.4,BRE,0,0.0,Gunnarsson,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,377,354,348,377,Goalkeeper,4.0,0,Budget,Differential
Jason,0.0,Steele,1.8,BHA,0,0.0,Steele,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,366,341,334,366,Goalkeeper,4.0,0,Budget,Differential
Mathew,2.6,Ryan,0.1,BHA,37,8.2,Ryan,1260,0,0,3,21,24,0,216,193.6,10.7,2.0,20.6,250,316,325,311,Goalkeeper,4.5,0,Budget,Differential
Robert,3.7,Sánchez,22.8,BHA,101,22.4,Sánchez,2430,0,0,10,27,66,8,514,542.2,10.0,4.0,55.8,94,319,322,225,Goalkeeper,4.5,0,Budget,High
